country_name,translation,language
Afghanistan,ავღანეთი,ქართული
Africa,აფრიკა,ქართული
Albania,ალბანეთი,ქართული
Algeria,ალჟირი,ქართული
Andorra,ანდორა,ქართული
Angola,ანგოლა,ქართული
Anguilla,ანგილია,ქართული
Antigua and Barbuda,ანტიგუა და ბარბუდა,ქართული
Argentina,არგენტინა,ქართული
Armenia,სომხეთი,ქართული
Asia,აზია,ქართული
Australia,ავსტრალია,ქართული
Austria,ავსტრია,ქართული
Azerbaijan,აზერბაიჯანი,ქართული
Bahamas,ბაჰამის კუნძულები,ქართული
Bahrain,ბაჰრეინი,ქართული
Bangladesh,ბანგლადეში,ქართული
Barbados,ბარბადოსი,ქართული
Belarus,ბელორუსია,ქართული
Belgium,ბელგია,ქართული
Belize,ბელიზი,ქართული
Benin,ბენინი,ქართული
Bermuda,ბერმუდის კუნძულები,ქართული
Bhutan,ბუტანი,ქართული
Bolivia,ბოლივია,ქართული
Bosnia and Herzegovina,ბოსნია და ჰერცოგოვინა,ქართული
Botswana,ბოტსვანა,ქართული
Brazil,ბრაზილია,ქართული
Brunei,ბრუნეი,ქართული
Bulgaria,ბულგარეთი,ქართული
Burkina Faso,ბურკინა ფასო,ქართული
Burundi,ბურუნდი,ქართული
Cambodia,კამბოჯა,ქართული
Cameroon,კამერუნი,ქართული
Canada,კანადა,ქართული
Cape Verde,კაბო-ვერდე,ქართული
Cayman Islands,კაიმანის კუნძულები,ქართული
Central African Republic,ცენტრალური აფრიკის რესპუბლიკა,ქართული
Chad,ჩადი,ქართული
Chile,ჩილე,ქართული
China,ჩინეთი,ქართული
Colombia,კოლუმბია,ქართული
Comoros,კომორის კუნძულები,ქართული
Congo,კონგო,ქართული
Costa Rica,კოსტა - რიკა,ქართული
Cote d'Ivoire,კოტ დ 'ივუარი,ქართული
Croatia,ხორვატია,ქართული
Cuba,კუბა,ქართული
Cyprus,კვიპროსი,ქართული
Czechia,ჩეხეთი,ქართული
Democratic Republic of Congo,კონგოს დემოკრატიული რესპუბლიკა,ქართული
Denmark,დანია,ქართული
Djibouti,ჯიბუტი,ქართული
Dominica,დომინიკა,ქართული
Dominican Republic,დომინიკის რესპუბლიკა,ქართული
Ecuador,ეკვადორი,ქართული
Egypt,ეგვიპტე,ქართული
El Salvador,სალვადორი,ქართული
Equatorial Guinea,ეკვატორული გვინეა,ქართული
Eritrea,ერიტრეა,ქართული
Estonia,ესტონეთი,ქართული
Eswatini,ესვატინი,ქართული
Ethiopia,ეთიოპია,ქართული
Europe,ევროპა,ქართული
European Union,ევროპის კავშირი,ქართული
Faeroe Islands,ფაეროსის კუნძულები,ქართული
Falkland Islands,ფოლკლენდის კუნძულები,ქართული
Fiji,ფიჯი,ქართული
Finland,ფინეთი,ქართული
France,საფრანგეთი,ქართული
Gabon,გაბონი,ქართული
Gambia,გამბია,ქართული
Georgia,საქართველო,ქართული
Germany,გერმანია,ქართული
Ghana,განა,ქართული
Gibraltar,გიბრალტარი,ქართული
Greece,საბერძნეთი,ქართული
Greenland,გრენლანდია,ქართული
Grenada,გრენადა,ქართული
Guatemala,გვატემალა,ქართული
Guernsey,გერნსი,ქართული
Guinea,გვინეა,ქართული
Guinea-Bissau,გვინეა-ბისაუ,ქართული
Guyana,გაიანა,ქართული
Haiti,ჰაიტი,ქართული
Honduras,ჰონდურასი,ქართული
Hong Kong,ჰონგ კონგი,ქართული
Hungary,უნგრეთი,ქართული
Iceland,ისლანდია,ქართული
India,ინდოეთი,ქართული
Indonesia,ინდონეზია,ქართული
International,საერთაშორისო,ქართული
Iran,ირანი,ქართული
Iraq,ერაყი,ქართული
Ireland,ირლანდია,ქართული
Isle of Man,კუნძული მანი,ქართული
Israel,ისრაელი,ქართული
Italy,იტალია,ქართული
Jamaica,იამაიკა,ქართული
Japan,იაპონია,ქართული
Jersey,ჯერსი,ქართული
Jordan,ჟორდანია,ქართული
Kazakhstan,ყაზახეთი,ქართული
Kenya,კენია,ქართული
Kosovo,კოსოვო,ქართული
Kuwait,ქუვეითი,ქართული
Kyrgyzstan,ყირგიზეთი,ქართული
Laos,ლაოსი,ქართული
Latvia,ლატვია,ქართული
Lebanon,ლიბანი,ქართული
Lesotho,ლესოტო,ქართული
Liberia,ლიბერია,ქართული
Libya,ლიბია,ქართული
Liechtenstein,ლიხტენშტეინი,ქართული
Lithuania,ლიტვა,ქართული
Luxembourg,ლუქსემბურგი,ქართული
Macao,მაკაო,ქართული
Madagascar,მადაგასკარი,ქართული
Malawi,მალავი,ქართული
Malaysia,მალაიზია,ქართული
Maldives,მალდივის კუნძულები,ქართული
Mali,მალი,ქართული
Malta,მალტა,ქართული
Marshall Islands,მარშალის კუნძულები,ქართული
Mauritania,მავრიტანია,ქართული
Mauritius,მავრიკი,ქართული
Mexico,მექსიკა,ქართული
Micronesia (country),მიკრონეზია (ქვეყანა),ქართული
Moldova,მოლდოვა,ქართული
Monaco,მონაკო,ქართული
Mongolia,მონღოლეთი,ქართული
Montenegro,მონტენეგრო,ქართული
Montserrat,მონსერატი,ქართული
Morocco,მაროკო,ქართული
Mozambique,მოზამბიკი,ქართული
Myanmar,მიანმარის,ქართული
Namibia,ნამიბია,ქართული
Nepal,ნეპალი,ქართული
Netherlands,ნიდერლანდები,ქართული
New Zealand,Ახალი ზელანდია,ქართული
Nicaragua,ნიკარაგუა,ქართული
Niger,ნიგერი,ქართული
Nigeria,ნიგერია,ქართული
North America,ჩრდილოეთ ამერიკა,ქართული
North Macedonia,ჩრდილოეთ მაკედონია,ქართული
Northern Cyprus,ჩრდილოეთ კვიპროსი,ქართული
Norway,ნორვეგია,ქართული
Oceania,ოკეანეთი,ქართული
Oman,ომანი,ქართული
Pakistan,პაკისტანი,ქართული
Palestine,პალესტინა,ქართული
Panama,პანამა,ქართული
Papua New Guinea,პაპუა ახალი გვინეა,ქართული
Paraguay,პარაგვაი,ქართული
Peru,პერუ,ქართული
Philippines,ფილიპინები,ქართული
Poland,პოლონეთი,ქართული
Portugal,პორტუგალია,ქართული
Qatar,კატარი,ქართული
Romania,რუმინეთი,ქართული
Russia,რუსეთი,ქართული
Rwanda,რუანდა,ქართული
Saint Helena,წმინდა ელენა,ქართული
Saint Kitts and Nevis,სენტ-კიტსი და ნევისი,ქართული
Saint Lucia,წმინდა ლუსია,ქართული
Saint Vincent and the Grenadines,სენტ ვინსენტი და გრენადინები,ქართული
Samoa,სამოა,ქართული
San Marino,სან მარინო,ქართული
Sao Tome and Principe,სან ტომე და პრინსიპი,ქართული
Saudi Arabia,საუდის არაბეთი,ქართული
Senegal,სენეგალი,ქართული
Serbia,სერბეთი,ქართული
Seychelles,სეიშელის კუნძულები,ქართული
Sierra Leone,სიერა ლეონე,ქართული
Singapore,სინგაპური,ქართული
Slovakia,სლოვაკეთი,ქართული
Slovenia,სლოვენია,ქართული
Solomon Islands,სოლომონის კუნძულები,ქართული
Somalia,სომალი,ქართული
South Africa,სამხრეთ აფრიკა,ქართული
South America,სამხრეთ ამერიკა,ქართული
South Korea,სამხრეთ კორეა,ქართული
South Sudan,სამხრეთ სუდანი,ქართული
Spain,ესპანეთი,ქართული
Sri Lanka,შრი ლანკა,ქართული
Sudan,სუდანი,ქართული
Suriname,სურინამი,ქართული
Sweden,შვედეთი,ქართული
Switzerland,შვეიცარია,ქართული
Syria,სირია,ქართული
Taiwan,ტაივანი,ქართული
Tajikistan,ტაჯიკეთი,ქართული
Tanzania,ტანზანია,ქართული
Thailand,ტაილანდი,ქართული
Timor,ტიმორი,ქართული
Togo,Წასვლა,ქართული
Trinidad and Tobago,ტრინიდადი და ტობაგო,ქართული
Tunisia,ტუნისი,ქართული
Turkey,თურქეთი,ქართული
Turks and Caicos Islands,ტერქსისა და კაიკოსის კუნძულები,ქართული
Uganda,უგანდა,ქართული
Ukraine,უკრაინა,ქართული
United Arab Emirates,არაბთა გაერთიანებული საამიროები,ქართული
United Kingdom,გაერთიანებული სამეფო,ქართული
United States,შეერთებული შტატები,ქართული
Uruguay,ურუგვაი,ქართული
Uzbekistan,უზბეკეთი,ქართული
Vanuatu,ვანუატუ,ქართული
Vatican,ვატიკანი,ქართული
Venezuela,ვენესუელა,ქართული
Vietnam,ვიეტნამი,ქართული
World,მსოფლიო,ქართული
Yemen,იემენი,ქართული
Zambia,ზამბია,ქართული
Zimbabwe,ზიმბაბვე,ქართული
Afghanistan,Afghanistan,English
Africa,Africa,English
Albania,Albania,English
Algeria,Algeria,English
Andorra,Andorra,English
Angola,Angola,English
