"date","new_cases","new_deaths","new_recoveries","total","total_rec","total_deaths","active_cases","vaccinated"
2020-02-27,0,0,0,1,0,0,1,NA
2020-02-28,0,0,0,1,0,0,1,NA
2020-02-29,0,0,0,1,0,0,1,NA
2020-03-01,0,0,0,1,0,0,1,NA
2020-03-02,2,0,0,3,0,0,3,NA
2020-03-03,0,0,0,3,0,0,3,NA
2020-03-04,0,0,0,3,0,0,3,NA
2020-03-05,0,0,0,3,0,0,3,NA
2020-03-06,1,0,0,4,0,0,4,NA
2020-03-07,0,0,0,4,0,0,4,NA
2020-03-08,0,0,0,4,0,0,4,NA
2020-03-09,9,0,0,13,0,0,13,NA
2020-03-10,2,0,0,15,0,0,15,NA
2020-03-11,0,0,0,15,0,0,15,NA
2020-03-12,9,0,0,24,0,0,24,NA
2020-03-13,0,0,0,24,0,0,24,NA
2020-03-14,1,0,0,25,0,0,25,NA
2020-03-15,5,0,0,30,0,0,30,NA
2020-03-16,3,0,1,33,1,0,32,NA
2020-03-17,1,0,0,34,1,0,33,NA
2020-03-18,4,0,0,38,1,0,37,NA
2020-03-19,2,0,0,40,1,0,39,NA
2020-03-20,3,0,0,43,1,0,42,NA
2020-03-21,4,0,0,47,1,0,46,NA
2020-03-22,2,0,2,49,3,0,46,NA
2020-03-23,5,0,0,54,3,0,51,NA
2020-03-24,7,0,6,61,9,0,52,NA
2020-03-25,9,0,1,70,10,0,60,NA
2020-03-26,3,0,1,73,11,0,62,NA
2020-03-27,6,0,3,79,14,0,65,NA
2020-03-28,4,0,0,83,14,0,69,NA
2020-03-29,7,0,4,90,18,0,72,NA
2020-03-30,1,0,2,91,20,0,71,NA
2020-03-31,12,0,1,103,21,0,82,NA
2020-04-01,7,0,2,110,23,0,87,NA
2020-04-02,20,0,3,130,26,0,104,NA
2020-04-03,18,0,2,148,28,0,120,NA
2020-04-04,9,1,8,157,36,1,120,NA
2020-04-05,13,1,0,170,36,2,132,NA
2020-04-06,18,0,3,188,39,2,147,NA
