"ds","country","polygon_source","polygon_id","polygon_name","all_day_bing_tiles_visited_relative_change","all_day_ratio_single_tile_users","baseline_name","baseline_type"
2020-03-01,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.14996,0.25847,"full_february","DAY_OF_WEEK"
2020-03-02,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.07267,0.17395,"full_february","DAY_OF_WEEK"
2020-03-03,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.0972,0.19337,"full_february","DAY_OF_WEEK"
2020-03-04,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.01473,0.15706,"full_february","DAY_OF_WEEK"
2020-03-05,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.02099,0.15907,"full_february","DAY_OF_WEEK"
2020-03-06,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.04069,0.16095,"full_february","DAY_OF_WEEK"
2020-03-07,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.01273,0.19495,"full_february","DAY_OF_WEEK"
2020-03-08,"GEO","GADM","GEO.12.1_1","Tbilisi",0.02822,0.20077,"full_february","DAY_OF_WEEK"
2020-03-09,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.01008,0.15834,"full_february","DAY_OF_WEEK"
2020-03-10,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.03134,0.16825,"full_february","DAY_OF_WEEK"
2020-03-11,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.05039,0.173,"full_february","DAY_OF_WEEK"
2020-03-12,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.07773,0.17951,"full_february","DAY_OF_WEEK"
2020-03-13,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.1195,0.19947,"full_february","DAY_OF_WEEK"
2020-03-14,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.14039,0.23784,"full_february","DAY_OF_WEEK"
2020-03-15,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.14061,0.26209,"full_february","DAY_OF_WEEK"
2020-03-16,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.2133,0.24275,"full_february","DAY_OF_WEEK"
2020-03-17,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.25175,0.27218,"full_february","DAY_OF_WEEK"
2020-03-18,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.31835,0.31577,"full_february","DAY_OF_WEEK"
2020-03-19,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.33275,0.3062,"full_february","DAY_OF_WEEK"
2020-03-20,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.32642,0.30151,"full_february","DAY_OF_WEEK"
2020-03-21,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.35665,0.34891,"full_february","DAY_OF_WEEK"
2020-03-22,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.42696,0.40753,"full_february","DAY_OF_WEEK"
2020-03-23,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.42496,0.35441,"full_february","DAY_OF_WEEK"
2020-03-24,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.43526,0.37104,"full_february","DAY_OF_WEEK"
2020-03-25,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.44287,0.36679,"full_february","DAY_OF_WEEK"
2020-03-26,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.44701,0.36862,"full_february","DAY_OF_WEEK"
2020-03-27,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.44851,0.36346,"full_february","DAY_OF_WEEK"
2020-03-28,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.41503,0.36929,"full_february","DAY_OF_WEEK"
2020-03-29,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.44857,0.42358,"full_february","DAY_OF_WEEK"
2020-03-30,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.47488,0.39879,"full_february","DAY_OF_WEEK"
2020-03-31,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.49482,0.41801,"full_february","DAY_OF_WEEK"
2020-04-01,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.51547,0.41646,"full_february","DAY_OF_WEEK"
2020-04-02,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.54983,0.44596,"full_february","DAY_OF_WEEK"
2020-04-03,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.52326,0.41575,"full_february","DAY_OF_WEEK"
2020-04-04,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.54787,0.46282,"full_february","DAY_OF_WEEK"
2020-04-05,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.48455,0.43947,"full_february","DAY_OF_WEEK"
2020-04-06,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.52477,0.42704,"full_february","DAY_OF_WEEK"
2020-04-07,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.54046,0.44777,"full_february","DAY_OF_WEEK"
2020-04-08,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.53783,0.444,"full_february","DAY_OF_WEEK"
2020-04-09,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.55714,0.45175,"full_february","DAY_OF_WEEK"
2020-04-10,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.49623,0.39307,"full_february","DAY_OF_WEEK"
2020-04-11,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.48799,0.41842,"full_february","DAY_OF_WEEK"
2020-04-12,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.48844,0.43987,"full_february","DAY_OF_WEEK"
2020-04-13,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.47682,0.3932,"full_february","DAY_OF_WEEK"
2020-04-14,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.45601,0.37735,"full_february","DAY_OF_WEEK"
2020-04-15,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.40291,0.36327,"full_february","DAY_OF_WEEK"
2020-04-16,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.52401,0.41338,"full_february","DAY_OF_WEEK"
2020-04-17,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.6305,0.43472,"full_february","DAY_OF_WEEK"
2020-04-18,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.67024,0.4923,"full_february","DAY_OF_WEEK"
2020-04-19,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.66431,0.52107,"full_february","DAY_OF_WEEK"
2020-04-20,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.71535,0.51998,"full_february","DAY_OF_WEEK"
2020-04-21,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.69288,0.52257,"full_february","DAY_OF_WEEK"
2020-04-22,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.69032,0.5385,"full_february","DAY_OF_WEEK"
2020-04-23,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.67684,0.5252,"full_february","DAY_OF_WEEK"
2020-04-24,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.68851,0.53457,"full_february","DAY_OF_WEEK"
2020-04-25,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.6618,0.51864,"full_february","DAY_OF_WEEK"
2020-04-26,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.63959,0.51483,"full_february","DAY_OF_WEEK"
2020-04-27,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.3723,0.35226,"full_february","DAY_OF_WEEK"
2020-04-28,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.38587,0.36656,"full_february","DAY_OF_WEEK"
2020-04-29,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.45667,0.38137,"full_february","DAY_OF_WEEK"
2020-04-30,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.44392,0.35515,"full_february","DAY_OF_WEEK"
2020-05-01,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.44579,0.35211,"full_february","DAY_OF_WEEK"
2020-05-02,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.43598,0.36614,"full_february","DAY_OF_WEEK"
2020-05-03,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.41403,0.37578,"full_february","DAY_OF_WEEK"
2020-05-04,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.42796,0.3525,"full_february","DAY_OF_WEEK"
2020-05-05,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.42677,0.36456,"full_february","DAY_OF_WEEK"
2020-05-06,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.4386,0.38125,"full_february","DAY_OF_WEEK"
2020-05-07,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.47275,0.40815,"full_february","DAY_OF_WEEK"
2020-05-08,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.41423,0.34984,"full_february","DAY_OF_WEEK"
2020-05-09,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.4665,0.41721,"full_february","DAY_OF_WEEK"
2020-05-10,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.48264,0.44181,"full_february","DAY_OF_WEEK"
2020-05-11,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.30271,0.31046,"full_february","DAY_OF_WEEK"
2020-05-12,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.29396,0.2996,"full_february","DAY_OF_WEEK"
2020-05-13,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.29677,0.30915,"full_february","DAY_OF_WEEK"
2020-05-14,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.29347,0.29805,"full_february","DAY_OF_WEEK"
2020-05-15,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.287,0.28463,"full_february","DAY_OF_WEEK"
2020-05-16,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.25897,0.29596,"full_february","DAY_OF_WEEK"
2020-05-17,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.28385,0.33887,"full_february","DAY_OF_WEEK"
2020-05-18,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.25857,0.28047,"full_february","DAY_OF_WEEK"
2020-05-19,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.26286,0.28883,"full_february","DAY_OF_WEEK"
2020-05-20,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.24054,0.26951,"full_february","DAY_OF_WEEK"
2020-05-21,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.25559,0.27175,"full_february","DAY_OF_WEEK"
2020-05-22,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.26092,0.27902,"full_february","DAY_OF_WEEK"
2020-05-23,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.25496,0.32153,"full_february","DAY_OF_WEEK"
2020-05-24,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.21227,0.32456,"full_february","DAY_OF_WEEK"
2020-05-25,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.24617,0.30952,"full_february","DAY_OF_WEEK"
2020-05-26,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.22054,0.26254,"full_february","DAY_OF_WEEK"
2020-05-27,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.10981,0.22722,"full_february","DAY_OF_WEEK"
2020-05-28,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.14227,0.23048,"full_february","DAY_OF_WEEK"
2020-05-29,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.14309,0.22366,"full_february","DAY_OF_WEEK"
2020-05-30,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.12389,0.23879,"full_february","DAY_OF_WEEK"
2020-05-31,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.06377,0.24501,"full_february","DAY_OF_WEEK"
2020-06-01,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.03737,0.18682,"full_february","DAY_OF_WEEK"
2020-06-02,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.07583,0.20484,"full_february","DAY_OF_WEEK"
2020-06-03,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.09716,0.21297,"full_february","DAY_OF_WEEK"
2020-06-04,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.07351,0.20431,"full_february","DAY_OF_WEEK"
2020-06-05,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.06323,0.19548,"full_february","DAY_OF_WEEK"
2020-06-06,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.00606,0.20244,"full_february","DAY_OF_WEEK"
2020-06-07,"GEO","GADM","GEO.12.1_1","Tbilisi",0.04452,0.2156,"full_february","DAY_OF_WEEK"
2020-06-08,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.0113,0.18254,"full_february","DAY_OF_WEEK"
2020-06-09,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.0325,0.1869,"full_february","DAY_OF_WEEK"
2020-06-10,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.02106,0.18419,"full_february","DAY_OF_WEEK"
2020-06-11,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.05342,0.18625,"full_february","DAY_OF_WEEK"
2020-06-12,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.03216,0.18246,"full_february","DAY_OF_WEEK"
2020-06-13,"GEO","GADM","GEO.12.1_1","Tbilisi",-0.00535,0.20242,"full_february","DAY_OF_WEEK"
