"date","region","new_cases","total"
2020-05-05,"Abkhazia",0,3
2020-05-05,"Tskhinvali Region",0,0
2020-05-06,"Abkhazia",3,3
2020-05-06,"Tskhinvali Region",4,4
2020-05-07,"Abkhazia",0,3
2020-05-07,"Tskhinvali Region",8,11
2020-05-08,"Abkhazia",4,7
2020-05-08,"Tskhinvali Region",4,15
2020-05-09,"Abkhazia",2,9
2020-05-09,"Tskhinvali Region",2,18
2020-05-10,"Abkhazia",0,9
2020-05-10,"Tskhinvali Region",5,22
2020-05-11,"Abkhazia",1,10
2020-05-11,"Tskhinvali Region",1,23
2020-05-12,"Abkhazia",3,13
2020-05-12,"Tskhinvali Region",0,23
2020-05-13,"Abkhazia",2,15
2020-05-13,"Tskhinvali Region",12,25
2020-05-14,"Abkhazia",2,17
2020-05-14,"Tskhinvali Region",5,30
2020-05-15,"Abkhazia",0,17
2020-05-15,"Tskhinvali Region",0,30
2020-05-16,"Abkhazia",0,17
2020-05-16,"Tskhinvali Region",4,34
2020-05-17,"Abkhazia",3,20
2020-05-17,"Tskhinvali Region",0,34
2020-05-18,"Abkhazia",0,20
2020-05-18,"Tskhinvali Region",0,34
2020-05-19,"Abkhazia",4,24
2020-05-19,"Tskhinvali Region",0,34
2020-05-20,"Abkhazia",1,25
2020-05-20,"Tskhinvali Region",0,34
2020-05-21,"Abkhazia",0,25
2020-05-21,"Tskhinvali Region",0,34
2020-05-22,"Abkhazia",3,28
2020-05-22,"Tskhinvali Region",0,34
2020-05-23,"Abkhazia",0,28
2020-05-23,"Tskhinvali Region",1,35
2020-05-24,"Abkhazia",0,28
2020-05-24,"Tskhinvali Region",2,37
2020-05-25,"Abkhazia",0,28
2020-05-25,"Tskhinvali Region",0,37
2020-05-26,"Abkhazia",0,28
2020-05-26,"Tskhinvali Region",0,37
2020-05-27,"Abkhazia",0,28
2020-05-27,"Tskhinvali Region",0,37
2020-05-28,"Abkhazia",0,28
2020-05-28,"Tskhinvali Region",0,37
2020-05-29,"Abkhazia",0,28
2020-05-29,"Tskhinvali Region",1,38
2020-05-30,"Abkhazia",0,28
2020-05-30,"Tskhinvali Region",1,39
2020-05-31,"Abkhazia",0,28
2020-05-31,"Tskhinvali Region",0,39
2020-06-01,"Abkhazia",0,28
2020-06-01,"Tskhinvali Region",3,42
2020-06-02,"Abkhazia",0,28
2020-06-02,"Tskhinvali Region",0,42
2020-06-03,"Abkhazia",7,35
2020-06-03,"Tskhinvali Region",3,45
2020-06-04,"Abkhazia",0,35
2020-06-04,"Tskhinvali Region",0,45
2020-06-05,"Abkhazia",0,35
2020-06-05,"Tskhinvali Region",0,45
2020-06-06,"Abkhazia",1,36
2020-06-06,"Tskhinvali Region",12,57
2020-06-07,"Abkhazia",0,36
2020-06-07,"Tskhinvali Region",0,66
2020-06-08,"Abkhazia",0,36
2020-06-08,"Tskhinvali Region",0,66
2020-06-09,"Abkhazia",0,36
2020-06-09,"Tskhinvali Region",2,68
2020-06-10,"Abkhazia",0,36
2020-06-10,"Tskhinvali Region",0,68
2020-06-11,"Abkhazia",0,36
2020-06-11,"Tskhinvali Region",4,72
2020-06-12,"Abkhazia",1,37
2020-06-12,"Tskhinvali Region",0,72
2020-06-13,"Abkhazia",0,37
2020-06-13,"Tskhinvali Region",4,76
2020-06-14,"Abkhazia",0,37
2020-06-14,"Tskhinvali Region",0,76
2020-06-15,"Abkhazia",1,38
2020-06-15,"Tskhinvali Region",2,78
2020-06-16,"Abkhazia",0,38
2020-06-16,"Tskhinvali Region",0,78
2020-06-17,"Abkhazia",0,38
2020-06-17,"Tskhinvali Region",2,80
2020-06-18,"Abkhazia",0,38
2020-06-18,"Tskhinvali Region",0,84
2020-06-19,"Abkhazia",0,38
2020-06-19,"Tskhinvali Region",0,84
2020-06-20,"Abkhazia",0,38
2020-06-20,"Tskhinvali Region",0,84
2020-06-21,"Abkhazia",0,38
2020-06-21,"Tskhinvali Region",0,84
2020-06-22,"Abkhazia",0,38
2020-06-22,"Tskhinvali Region",0,84
2020-06-23,"Abkhazia",0,38
2020-06-23,"Tskhinvali Region",1,84
2020-06-24,"Abkhazia",0,38
2020-06-24,"Tskhinvali Region",1,85
2020-06-25,"Abkhazia",0,38
2020-06-25,"Tskhinvali Region",0,85
2020-06-26,"Abkhazia",0,38
2020-06-26,"Tskhinvali Region",0,85
2020-06-27,"Abkhazia",0,38
2020-06-27,"Tskhinvali Region",0,85
2020-06-28,"Abkhazia",0,38
2020-06-28,"Tskhinvali Region",0,85
2020-06-29,"Abkhazia",0,38
2020-06-29,"Tskhinvali Region",0,85
2020-06-30,"Abkhazia",0,38
2020-06-30,"Tskhinvali Region",0,85
2020-07-01,"Abkhazia",0,38
2020-07-01,"Tskhinvali Region",0,85
2020-07-02,"Abkhazia",0,38
2020-07-02,"Tskhinvali Region",2,87
2020-07-03,"Abkhazia",0,38
2020-07-03,"Tskhinvali Region",0,87
2020-07-04,"Abkhazia",0,38
2020-07-04,"Tskhinvali Region",0,87
2020-07-05,"Abkhazia",0,38
2020-07-05,"Tskhinvali Region",0,87
2020-07-06,"Abkhazia",0,38
2020-07-06,"Tskhinvali Region",0,87
2020-07-07,"Abkhazia",0,38
2020-07-07,"Tskhinvali Region",0,87
2020-07-08,"Abkhazia",0,38
2020-07-08,"Tskhinvali Region",0,87
2020-07-09,"Abkhazia",0,38
2020-07-09,"Tskhinvali Region",0,87
2020-07-10,"Abkhazia",0,38
2020-07-10,"Tskhinvali Region",2,87
2020-07-11,"Abkhazia",0,38
2020-07-11,"Tskhinvali Region",0,89
2020-07-12,"Abkhazia",0,38
2020-07-12,"Tskhinvali Region",0,89
2020-07-13,"Abkhazia",0,38
2020-07-13,"Tskhinvali Region",0,89
2020-07-14,"Abkhazia",0,38
2020-07-14,"Tskhinvali Region",0,89
2020-07-15,"Abkhazia",0,38
2020-07-15,"Tskhinvali Region",0,89
2020-07-16,"Abkhazia",0,38
2020-07-16,"Tskhinvali Region",0,89
2020-07-17,"Abkhazia",0,38
2020-07-17,"Tskhinvali Region",2,89
2020-07-18,"Abkhazia",0,38
2020-07-18,"Tskhinvali Region",0,89
2020-07-19,"Abkhazia",0,38
2020-07-19,"Tskhinvali Region",0,89
2020-07-20,"Abkhazia",0,38
2020-07-20,"Tskhinvali Region",0,89
2020-07-21,"Abkhazia",0,38
2020-07-21,"Tskhinvali Region",0,89
2020-07-22,"Abkhazia",2,40
2020-07-22,"Tskhinvali Region",0,89
2020-07-23,"Abkhazia",5,45
2020-07-23,"Tskhinvali Region",0,89
2020-07-24,"Abkhazia",3,48
2020-07-24,"Tskhinvali Region",0,89
2020-07-25,"Abkhazia",7,55
2020-07-25,"Tskhinvali Region",0,89
2020-07-26,"Abkhazia",0,55
2020-07-26,"Tskhinvali Region",0,89
2020-07-27,"Abkhazia",2,57
2020-07-27,"Tskhinvali Region",0,89
2020-07-28,"Abkhazia",6,63
2020-07-28,"Tskhinvali Region",0,89
2020-07-29,"Abkhazia",8,71
2020-07-29,"Tskhinvali Region",0,89
2020-07-30,"Abkhazia",10,81
2020-07-30,"Tskhinvali Region",0,89
2020-07-31,"Abkhazia",3,84
2020-07-31,"Tskhinvali Region",0,89
2020-08-01,"Abkhazia",14,123
2020-08-01,"Tskhinvali Region",0,89
2020-08-02,"Abkhazia",0,123
2020-08-02,"Tskhinvali Region",0,89
2020-08-03,"Abkhazia",0,123
2020-08-03,"Tskhinvali Region",0,89
2020-08-04,"Abkhazia",9,132
2020-08-04,"Tskhinvali Region",0,89
2020-08-05,"Abkhazia",0,132
2020-08-05,"Tskhinvali Region",0,89
2020-08-06,"Abkhazia",0,132
2020-08-06,"Tskhinvali Region",0,89
2020-08-07,"Abkhazia",6,138
2020-08-07,"Tskhinvali Region",0,89
2020-08-08,"Abkhazia",9,147
2020-08-08,"Tskhinvali Region",0,89
2020-08-09,"Abkhazia",0,147
2020-08-09,"Tskhinvali Region",0,89
2020-08-10,"Abkhazia",9,156
2020-08-10,"Tskhinvali Region",0,89
2020-08-11,"Abkhazia",5,161
2020-08-11,"Tskhinvali Region",0,89
2020-08-12,"Abkhazia",0,161
2020-08-12,"Tskhinvali Region",0,89
2020-08-13,"Abkhazia",0,161
2020-08-13,"Tskhinvali Region",0,89
2020-08-14,"Abkhazia",26,187
2020-08-14,"Tskhinvali Region",0,89
2020-08-15,"Abkhazia",0,187
2020-08-15,"Tskhinvali Region",0,89
2020-08-16,"Abkhazia",7,194
2020-08-16,"Tskhinvali Region",0,89
2020-08-17,"Abkhazia",8,202
2020-08-17,"Tskhinvali Region",0,89
2020-08-18,"Abkhazia",5,207
2020-08-18,"Tskhinvali Region",0,89
2020-08-19,"Abkhazia",5,212
2020-08-19,"Tskhinvali Region",0,89
2020-08-20,"Abkhazia",3,215
2020-08-20,"Tskhinvali Region",0,89
2020-08-21,"Abkhazia",10,225
2020-08-21,"Tskhinvali Region",0,89
2020-08-22,"Abkhazia",9,234
2020-08-22,"Tskhinvali Region",0,89
2020-08-23,"Abkhazia",8,242
2020-08-23,"Tskhinvali Region",0,89
2020-08-24,"Abkhazia",5,247
2020-08-24,"Tskhinvali Region",0,89
2020-08-25,"Abkhazia",15,262
2020-08-25,"Tskhinvali Region",0,89
2020-08-26,"Abkhazia",12,274
2020-08-26,"Tskhinvali Region",0,89
2020-08-27,"Abkhazia",21,295
2020-08-27,"Tskhinvali Region",0,89
2020-08-28,"Abkhazia",13,308
2020-08-28,"Tskhinvali Region",0,89
2020-08-29,"Abkhazia",7,315
2020-08-29,"Tskhinvali Region",0,89
2020-08-30,"Abkhazia",0,315
2020-08-30,"Tskhinvali Region",0,89
2020-08-31,"Abkhazia",15,330
2020-08-31,"Tskhinvali Region",0,89
2020-09-01,"Abkhazia",29,359
2020-09-01,"Tskhinvali Region",0,89
2020-09-02,"Abkhazia",25,384
2020-09-02,"Tskhinvali Region",0,89
2020-09-03,"Abkhazia",42,426
2020-09-03,"Tskhinvali Region",0,89
2020-09-04,"Abkhazia",40,466
2020-09-04,"Tskhinvali Region",0,89
2020-09-05,"Abkhazia",36,502
2020-09-05,"Tskhinvali Region",1,90
2020-09-06,"Abkhazia",14,516
2020-09-06,"Tskhinvali Region",0,90
2020-09-07,"Abkhazia",0,516
2020-09-07,"Tskhinvali Region",0,90
2020-09-08,"Abkhazia",20,536
2020-09-08,"Tskhinvali Region",0,90
2020-09-09,"Abkhazia",21,557
2020-09-09,"Tskhinvali Region",0,90
2020-09-10,"Abkhazia",15,572
2020-09-10,"Tskhinvali Region",0,90
2020-09-11,"Abkhazia",38,610
2020-09-11,"Tskhinvali Region",0,90
2020-09-12,"Abkhazia",30,640
2020-09-12,"Tskhinvali Region",0,90
2020-09-13,"Abkhazia",16,656
2020-09-13,"Tskhinvali Region",0,90
2020-09-14,"Abkhazia",18,674
2020-09-14,"Tskhinvali Region",0,90
2020-09-15,"Abkhazia",52,726
2020-09-15,"Tskhinvali Region",0,90
2020-09-16,"Abkhazia",30,756
2020-09-16,"Tskhinvali Region",0,90
2020-09-17,"Abkhazia",26,782
2020-09-17,"Tskhinvali Region",0,90
2020-09-18,"Abkhazia",43,825
2020-09-18,"Tskhinvali Region",0,90
2020-09-19,"Abkhazia",53,878
2020-09-19,"Tskhinvali Region",0,90
2020-09-20,"Abkhazia",61,939
2020-09-20,"Tskhinvali Region",1,91
2020-09-21,"Abkhazia",56,995
2020-09-21,"Tskhinvali Region",0,91
2020-09-22,"Abkhazia",59,1054
2020-09-22,"Tskhinvali Region",0,91
2020-09-23,"Abkhazia",62,1116
2020-09-23,"Tskhinvali Region",0,91
2020-09-24,"Abkhazia",61,1177
2020-09-24,"Tskhinvali Region",1,92
2020-09-25,"Abkhazia",68,1245
2020-09-25,"Tskhinvali Region",1,93
2020-09-26,"Abkhazia",41,1286
2020-09-26,"Tskhinvali Region",0,93
2020-09-27,"Abkhazia",46,1332
2020-09-27,"Tskhinvali Region",0,93
2020-09-28,"Abkhazia",20,1352
2020-09-28,"Tskhinvali Region",5,98
2020-09-29,"Abkhazia",35,1387
2020-09-29,"Tskhinvali Region",2,100
2020-09-30,"Abkhazia",71,1458
2020-09-30,"Tskhinvali Region",0,100
2020-10-01,"Abkhazia",67,1525
2020-10-01,"Tskhinvali Region",2,102
2020-10-02,"Abkhazia",65,1590
2020-10-02,"Tskhinvali Region",0,102
2020-10-03,"Abkhazia",69,1659
2020-10-03,"Tskhinvali Region",2,104
2020-10-04,"Abkhazia",57,1716
2020-10-04,"Tskhinvali Region",0,106
2020-10-05,"Abkhazia",49,1765
