"id","long","lat","ADM1_EN","Name","region","pop","total","total_since_sept","pop_share","per_10k","rd","col","today"
0,"na","na","Autonomous Republic of Abkhazia","Abkhazia","Abkhazia",NA,NA,NA,NA,"na","na",1,NA
1,"41.6006","42.068800000000003","Autonomous Republic of Adjara","Adjara","Adjara","351892",38485,38928,10.9365941823059,"2.8417810009889397","9.1436143952189166",0,21
2,"41.944299999999998","42.0458","Guria","Guria","Guria","108099",6178,6292,5.71513149982886,"9.2507793781626102","17.497410165101975",0,20
3,"42.117255999999998","42.902920000000002","Imereti","Imereti","Imereti","486983",42813,42014,8.79147732056355,"2.0534597716963425","11.374652558802232",0,73
4,"41.648200000000003","45.690600000000003","Kakheti","Kakheti","Kakheti","310051",12674,12648,4.08771460179132,"3.2252758417163627","24.463547419914786",0,27
5,"41.519561000000003","44.265225000000001","Kvemo Kartli","Kvemo Kartli","Kvemo_Kartli","434241",15690,15602,3.6132009644414,"2.3028686835190597","27.676290630975142",0,10
6,"42.370396999999997","44.907924999999999","Mtskheta-Mtianeti","Mtskheta-Mtianeti","Mtskheta_Mtianeti","93343",6088,6179,6.5221816311882,"10.71317613532884","15.332293035479632",0,4
7,"na","na","Provisional Administration","Tskhinvali","Tskhinvali","na",NA,NA,NA,NA,"na",1,NA
8,"42.671900000000001","43.0563","Racha-Lechkhumi and Kvemo Svaneti","Racha","Racha_Lechkhumi","29080",1413,1368,4.85900962861073,"34.3878954607978","20.580325548478413",0,1
9,"42.499118000000003","42.122891000000003","Samegrelo-Zemo Svaneti","Samegrelo","Samegrelo","311113",20468,19255,6.57896005631394,"3.214266199098077","15.199970685948799",0,17
10,"41.547899999999998","43.2776","Samtskhe-Javakheti","Samtskhe-Javakheti","Samtskhe_Javakheti","152114",4625,4633,3.04048279579789,"6.5740168557792185","32.889513513513513",0,0
11,"41.970396999999998","43.979579999999999","Shida Kartli","Shida Kartli","Shida_Kartli","255124",14699,14687,5.76151204904282,"3.9196625954437843","17.356554867678074",0,28
12,"41.7151","44.827100000000002","Tbilisi","Tbilisi","Tbilisi","1184818",108330,104300,9.14317642034473,"0.84401148530829206","10.937118065171235",0,194
